Year,MNO,Latitude,Longitude,UMTS900,UMTS2100,LTE700,LTE900,LTE1800,LTE2100,LTE2300,LTE2600
2018,Optus,-34.184121,139.067057,Y,,Y,,,,,Y
2018,Optus,-35.25552384,139.4507964,Y,Y,Y,,,,,Y
2018,Optus,-34.45226,137.899587,Y,,Y,,,,,Y
2018,Optus,-33.994147,138.675427,Y,,Y,,,,,Y
2018,Optus,-37.59602227,140.3541317,Y,Y,Y,,,,,Y
2018,Optus,-35.11130959,138.545702,Y,Y,Y,,Y,,Y,
2018,Optus,-34.76923031,138.6039183,Y,Y,,,,,,
2018,Optus,-34.892356,138.513146,Y,Y,,,Y,,,
2018,Optus,-34.8327749,138.6905283,Y,Y,,,Y,,Y,Y
2018,Optus,-35.01852414,138.5435485,,Y,,,Y,,Y,Y
2018,Optus,-34.92447,138.600382,,Y,,,Y,,,
2018,Optus,-34.76247152,138.7092006,Y,Y,Y,,Y,,,
2018,Optus,-34.93409154,138.6231108,Y,Y,Y,,Y,,Y,Y
2018,Optus,-34.92375836,138.6018457,Y,Y,,,Y,,Y,Y
2018,Optus,-34.926492,138.548509,Y,Y,Y,,Y,,Y,
2018,Optus,-34.92861358,138.5343549,Y,Y,Y,,Y,,Y,
2018,Optus,-34.921184,138.576445,Y,Y,Y,,Y,,Y,
2018,Optus,-34.972216,138.637888,Y,Y,Y,,Y,,Y,
2018,Optus,-34.830321,138.6493,Y,Y,Y,,Y,,Y,
2018,Optus,-35.09796904,138.4888615,Y,,,,,,,
2018,Optus,-34.460147,138.99937,Y,Y,Y,,Y,,,Y
2018,Optus,-34.90354088,138.5474054,Y,Y,Y,,Y,,Y,
2018,Optus,-36.9669427,140.3766454,Y,,Y,,,,,Y
2018,Optus,-34.28381382,140.5970201,Y,Y,Y,,,Y,,Y
2018,Optus,-34.028478,139.664118,Y,Y,Y,,,,,Y
2018,Optus,-34.941187,138.659648,Y,Y,Y,,Y,,Y,
2018,Optus,-34.811583,138.727319,Y,Y,Y,,Y,,Y,
2018,Optus,-34.928077,138.649537,Y,Y,Y,,Y,,,
2018,Optus,-35.091105,139.896409,Y,,Y,,,,,Y
2018,Optus,-35.4163351,138.4924883,Y,,Y,,Y,,,
2018,Optus,-33.25962444,138.3818755,Y,,Y,,,,,Y
2018,Optus,-34.55818734,139.5844513,Y,,Y,,,,,Y
2018,Optus,-35.37663,140.005975,Y,,Y,,,,,
2018,Optus,-34.81999619,138.6198706,Y,Y,Y,,Y,,Y,
2018,Optus,-31.89097672,138.4186869,Y,,Y,,,,,Y
2018,Optus,-33.203011,138.605065,Y,,Y,,,,,Y
2018,Optus,-32.982988,138.829807,Y,,Y,,,,,Y
2018,Optus,-29.017197,134.752824,Y,,Y,,,,,Y
2018,Optus,-30.54798544,136.8932439,Y,Y,Y,,,,,Y
2018,Optus,-31.19428958,136.8134072,Y,,Y,,,,,Y
2018,Optus,-34.98185698,138.5990947,Y,Y,Y,,Y,,,
2018,Optus,-35.02866623,138.5574035,Y,Y,Y,,Y,,Y,
2018,Optus,-34.88227812,138.6474769,Y,Y,Y,,Y,,Y,
2018,Optus,-34.90604807,138.6558957,Y,Y,Y,,Y,,Y,
2018,Optus,-35.06029562,138.6093136,Y,Y,Y,,Y,,,
2018,Optus,-34.94848,138.624233,Y,Y,Y,,Y,,,
2018,Optus,-34.96616623,138.5235541,Y,Y,Y,,Y,,Y,
2018,Optus,-34.96109099,138.589095,,Y,,,Y,,,
2018,Optus,-34.92162768,138.6290481,Y,Y,,,Y,,Y,
2018,Optus,-34.86925836,138.6622163,Y,Y,Y,,Y,,Y,
2018,Optus,-35.001989,138.589542,Y,Y,Y,,Y,,Y,
2018,Optus,-34.84784832,138.6471465,Y,Y,Y,,Y,,,
2018,Optus,-34.79855287,138.6700386,Y,Y,Y,,Y,,,
2018,Optus,-35.06952683,138.6095242,Y,Y,Y,,Y,,,
2018,Optus,-35.06002037,138.5868133,Y,Y,Y,,Y,,Y,
2018,Optus,-35.01367,138.621342,Y,Y,Y,,Y,,,
2018,Optus,-34.76502286,138.6508189,Y,Y,Y,,Y,,Y,
2018,Optus,-34.83308307,138.7063984,Y,Y,Y,,Y,,Y,
2018,Optus,-34.94038229,138.6403681,Y,Y,Y,,Y,,Y,
2018,Optus,-34.8660579,138.5292768,Y,Y,Y,,Y,,Y,
